BOL,PO_NUMBER,WEEK_START_SUNDAY,WEEK_END_SATURDAY,LOAD_NBR,MG_SO_CREATE_DT_EST,ORIGIN_LOC_CD,ORIGIN_LOC_NAME,ORIGIN_LOC_ADDR1,ORIGIN_LOC_CITY,ORIGIN_LOC_STATE,ORIGIN_LOC_ZIP,ORIGIN_LOC_COUNTRY,DEST_LOC_CD,DEST_LOC_NAME,DEST_LOC_ADDR1,DEST_LOC_CITY,DEST_LOC_STATE,DEST_LOC_ZIP,DEST_LOC_COUNTRY,SO_CONSIGNEE_GROUP,SHIP_DATE_EARLIEST,SHIP_DATE_LATEST,PICKUP_DATE_ACTUAL,SHIP_DATE_PLANNED,DELIVERY_DATE_EARLIEST,DELIVERY_DATE_LATEST,DELIVERY_APPOINTMENT,SO_DELIVERY_DATE_ACTUAL,PACKAGE_QTY,PACKAGE_QTY_UOM,CUBE,ACTUAL_WT,SO_DELIVERY_LATE_PARTY,SO_DELIVERY_LATE_RSN,SELECT_CUST_RATE_DISTANCE,LOAD_STATUS,PO_NBR,ORIGIN_LOC_CD_EL,DEST_LOC_CD_EL,EARLIEST_PICKUP_DT,LATEST_PICKUP_DT,FIRST_PICKUP_APPT_DT,SHIP_DATE_ACTUAL,TOTAL_NBR_PICKUP_APPT,LOAD_TOTAL_WT,EARLIEST_DELIVERY_DT,LATEST_DELIVERY_DT,FIRST_DELIVERY_APPT_DT,ARRIVED_AT_DELIVERY_DATE,TOTAL_NBR_DELIVERY_APPTS,FINAL_DELIVERY_DATE,LOAD_CARRIER_MODE,TRADE,WM_PRESET_APPT_NBR,CARRIER_DISTANCE,CON_GROUP,LOAD_CONSIGNEE_GROUP,LOAD_DELIVERY_LATE_PARTY,LOAD_DELIVERY_LATE_RSN,OT_RAD_FINAL,OT_FAA_FINAL,LOAD_SCAC,CARRIER_CARRIER_ADDR_1,CARRIER_CARRIER_CITY,CARRIER_CARRIER_NAME,CARRIER_CARRIER_STATE,CARRIER_CARRIER_ZIP_CD,CARRIER_MC_NUMBER,CARRIER_SCAC,CARRIER_US_DOT_NUMBER,CARRIER_USDOT_NBR,ARRIVED_AT_PICKUP_DT,CURRENT_PICKUP_APPT_DT,DROP_STOP_NBR,CUST_PARENT_DSC_CUST_NAME
3818193,8886216U,2024-06-23T00:00:00.000+00:00,2024-06-29T00:00:00.000+00:00,55621541,2024-05-24T16:26:00.000+00:00,1010,B&G Ankeny Spice Plant,2452 SE CREEKVIEW DR.,ANKENY,IA,50021,,MSFLOUSF001,US FOODS,3939 UNDERWOOD DR,FLOWOOD,MS,39232,US,US Foods,2024-06-01T00:00:00.000+00:00,2024-06-01T23:59:00.000+00:00,2024-05-31T09:07:00.000+00:00,2024-06-01T00:00:00.000+00:00,2024-06-04T00:00:00.000+00:00,2024-06-04T23:59:00.000+00:00,2024-06-05T12:00:00.000+00:00,2024-06-05T12:24:00.000+00:00,479,EA,174.96,3596.87,Consignee,First Available Appointment,817,     Delivered,\,1010,MSFLOUSF001,2024-06-01T00:00:00.000+00:00,2024-06-01T23:59:00.000+00:00,2024-05-29T17:00:00.000+00:00,2024-05-31T09:07:00.000+00:00,1,3596.87,2024-06-04T00:00:00.000+00:00,2024-06-04T23:59:00.000+00:00,2024-06-05T12:24:00.000+00:00,2024-06-05T12:24:00.000+00:00,2,2024-06-05T12:24:00.000+00:00,LTL,C,,817.0,US Foods,US Foods,Customer,Order Not Picked and Loaded,0,1,ODFL,500 Old Dominion Way,THOMASVILLE,"Old Dominion Freight Line, Inc.",NC,27360,107478,ODFL,90849,90849,2024-05-31T09:03:00.000+00:00,2024-05-29T17:00:00.000+00:00,2,B&G FOODS
00105CD08552894,6181752783,2024-06-23T00:00:00.000+00:00,2024-06-29T00:00:00.000+00:00,55620182,2024-05-22T19:10:00.000+00:00,ATL01,CJL Union City,5220 Highway 138,Union City,GA,30291,,MSBROWAL001,WALMART #6011,2210 MANUFACTURERS BLVD,BROOKHAVEN,MS,39601,US,Walmart,2024-06-02T00:00:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-06-01T19:56:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-06-02T05:00:00.000+00:00,2024-06-02T12:28:00.000+00:00,1839,CASE,533.194,20942.87,,,432,                     Delivered,6531790319,ATL01,MSBROWAL001,2024-06-02T00:00:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-05-29T18:00:00.000+00:00,2024-06-01T19:56:00.000+00:00,3,41237.63,2024-06-02T00:00:00.000+00:00,2024-06-02T00:00:00.000+00:00,2024-06-02T05:00:00.000+00:00,2024-06-02T11:14:00.000+00:00,2,2024-06-02T11:14:00.000+00:00,TL,T,,432.0,Walmart,Walmart,,,1,1,RLKQ,2100 W 21St St,Broadview,Real Trucking Inc.,IL,60155,603609,RLKQ,1637762,1637762,,2024-05-31T23:45:00.000+00:00,2,B&G FOODS
